Time,Displacement,Force,Tensile strain (Strain 1),Tensile stress
(s),(mm),(kN),(%),(MPa)
0,0,0,-0.0016,-0.0002
0.02,0,0,-0.0001,0.0023
0.04,0.0001,0.0001,0.0015,0.0049
0.06,0.0002,0.0002,0.0018,0.008
0.08,0.0005,0.0003,0.0012,0.0125
0.1,0.0009,0.0004,0.0012,0.0169
0.12,0.0014,0.0007,0.0002,0.0315
0.14,0.002,0.001,-0.0004,0.0473
0.16,0.0027,0.0013,-0.0012,0.0614
0.18,0.0033,0.0016,-0.001,0.077
0.2,0.0039,0.002,-0.0018,0.0961
0.22,0.0045,0.0024,-0.0024,0.1139
0.24,0.0051,0.0029,-0.0029,0.1378
0.26,0.0058,0.0033,-0.0027,0.1595
0.28,0.0064,0.0038,-0.0005,0.1794
0.3,0.0071,0.0042,0,0.202
0.32,0.0077,0.0047,0.0003,0.2216
0.34,0.0084,0.0052,-0.0004,0.246
0.36,0.009,0.0056,-0.0005,0.2668
0.38,0.0097,0.006,-0.0016,0.2872
0.4,0.0104,0.0065,-0.0023,0.3088
0.42,0.0111,0.0071,-0.0024,0.3362
0.44,0.0118,0.0076,-0.0028,0.3622
0.46,0.0125,0.0082,-0.0033,0.3903
0.48,0.0131,0.0088,-0.0041,0.4207
0.5,0.0138,0.0094,-0.0039,0.4466
0.52,0.0144,0.01,-0.003,0.4743
0.54,0.0151,0.0106,-0.0012,0.5033
0.56,0.0158,0.0112,-0.0007,0.5346
0.58,0.0165,0.0119,-0.0006,0.5655
0.6,0.0171,0.0125,-0.0011,0.5964
0.62,0.0178,0.0131,-0.0022,0.624
0.64,0.0185,0.0138,-0.0025,0.6571
0.66,0.0192,0.0146,-0.0031,0.6929
0.68,0.0199,0.0152,-0.0033,0.7231
0.7,0.0206,0.0159,-0.0038,0.7582
0.72,0.0213,0.0166,-0.004,0.7927
0.74,0.022,0.0174,-0.0044,0.8277
0.76,0.0226,0.0181,-0.0045,0.8623
0.78,0.0233,0.0188,-0.0019,0.8949
0.8,0.024,0.0196,-0.0009,0.9343
0.82,0.0246,0.0205,-0.0009,0.974
